SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS,SupAntR,SupAntA,SupAntS,InfAntR,InfAntA,InfAntS
-54.1876,-44.4859,98.1699,-4.50608,-16.5779,97.8383,-55.0554,-37.9412,66.9852,1.50914,-13.0615,77.0118,-58.0714,-31.8552,38.7699,9.51969,-5.42171,46.7892,-42.2226,21.8427,85.6275,-41.4981,24.8706,65.8817
-55.0554,-37.9412,66.9852,1.50914,-13.0615,77.0118,-58.0714,-31.8552,38.7699,9.51969,-5.42171,46.7892,-55.5741,-24.9923,9.55095,12.017,1.44119,17.5703,-37.6417,29.4166,57.6951,-32.4604,33.5635,36.8064
-16.7708,-27.4683,363.967,44.1249,-28.0334,375.677,-12.0829,-27.2616,340.115,48.8128,-27.8268,351.825,-3.58396,-27.4638,313.256,49.6896,-27.2113,330.981,18.8744,9.41467,346.262,20.5919,12.9344,332.961
-12.0829,-27.2616,340.115,48.8128,-27.8268,351.825,-3.58396,-27.4638,313.256,49.6896,-27.2113,330.981,0.943322,-24.6852,293.18,54.8758,-26.7705,310.745,20.6001,13.4863,328.886,24.3883,17.3955,314.898
-3.58396,-27.4638,313.256,49.6896,-27.2113,330.981,0.943322,-24.6852,293.18,54.8758,-26.7705,310.745,8.65215,-19.6433,272.497,63.3755,-26.7273,290.936,25.7875,17.6086,310.452,31.3398,20.8149,297.274
0.943322,-24.6852,293.18,54.8758,-26.7705,310.745,8.65215,-19.6433,272.497,63.3755,-26.7273,290.936,12.381,-16.0757,255.101,72.2131,-26.2671,270.166,34.7876,21.6922,292.627,42.7153,25.0777,278.13
8.65215,-19.6433,272.497,63.3755,-26.7273,290.936,12.381,-16.0757,255.101,72.2131,-26.2671,270.166,16.9607,-9.64559,236.716,77.5399,-26.495,246.112,44.7435,25.6864,274.713,50.7031,28.8655,258.248
12.381,-16.0757,255.101,72.2131,-26.2671,270.166,16.9607,-9.64559,236.716,77.5399,-26.495,246.112,19.7518,-4.66898,217.545,78.5698,-23.3303,220.667,53.1746,29.1227,253.74,56.7989,31.8733,238.897
16.9607,-9.64559,236.716,77.5399,-26.495,246.112,19.7518,-4.66898,217.545,78.5698,-23.3303,220.667,23.0862,-4.79015,196.599,74.6375,-19.8091,190.256,58.2435,33.3808,234.595,59.046,36.9961,217.105
19.7518,-4.66898,217.545,78.5698,-23.3303,220.667,23.0862,-4.79015,196.599,74.6375,-19.8091,190.256,24.1569,2.85635,180.517,71.6798,-13.082,167.907,58.3317,37.5784,212.782,56.7907,40.1893,195.038
23.0862,-4.79015,196.599,74.6375,-19.8091,190.256,24.1569,2.85635,180.517,71.6798,-13.082,167.907,23.7808,6.49987,155.279,64.2424,-2.28969,144.332,60.7823,41.7743,190.481,56.8052,46.3192,171.363
24.1569,2.85635,180.517,71.6798,-13.082,167.907,23.7808,6.49987,155.279,64.2424,-2.28969,144.332,17.3442,8.70155,125.023,54.4239,4.80653,117.114,56.0347,47.9241,164.607,49.1824,52.8807,146.7
23.7808,6.49987,155.279,64.2424,-2.28969,144.332,17.3442,8.70155,125.023,54.4239,4.80653,117.114,1.84008,21.602,101.98,64.6728,14.5994,90.6165,47.9822,55.145,140.544,39.5566,61.3339,119.842
17.3442,8.70155,125.023,54.4239,4.80653,117.114,1.84008,21.602,101.98,64.6728,14.5994,90.6165,-15.5049,20.8308,78.5598,64.4124,17.9729,64.8111,38.4376,64.242,111.959,29.4585,68.9261,88.8704
1.84008,21.602,101.98,64.6728,14.5994,90.6165,-15.5049,20.8308,78.5598,64.4124,17.9729,64.8111,-25.0505,23.2868,49.9917,63.8419,22.4932,38.6159,28.2221,71.7522,80.7306,20.5131,74.0549,54.5386
-15.5049,20.8308,78.5598,64.4124,17.9729,64.8111,-25.0505,23.2868,49.9917,63.8419,22.4932,38.6159,-16.6082,22.2862,15.8428,51.5888,24.0479,10.3996,19.7084,75.2069,41.9984,16.6222,70.3012,15.6392
-25.0505,23.2868,49.9917,63.8419,22.4932,38.6159,-16.6082,22.2862,15.8428,51.5888,24.0479,10.3996,-18.5136,22.5633,-15.3398,49.6834,24.3249,-20.783,15.6578,68.5346,4.19961,15.4248,56.9265,-20.9794
-32.8319,-62.99,358.527,21.1191,-55.3824,365.376,-30.8018,-65.0995,337.717,23.1492,-57.492,344.566,-27.5902,-66.1872,313.474,23.9978,-60.6234,327.189,-8.94465,-20.0416,342.848,-7.64046,-19.5463,328.781
-30.8018,-65.0995,337.717,23.1492,-57.492,344.566,-27.5902,-66.1872,313.474,23.9978,-60.6234,327.189,-23.1461,-62.9478,290.14,30.1772,-63.5795,308.139,-6.66591,-19.3666,324.526,-2.12681,-18.6581,310.45
-27.5902,-66.1872,313.474,23.9978,-60.6234,327.189,-23.1461,-62.9478,290.14,30.1772,-63.5795,308.139,-15.4928,-57.9814,270.691,37.8062,-64.8383,286.655,0.138269,-18.2746,307.14,7.22261,-16.1459,293.523
-23.1461,-62.9478,290.14,30.1772,-63.5795,308.139,-15.4928,-57.9814,270.691,37.8062,-64.8383,286.655,-9.61259,-51.931,250.373,42.9029,-63.9183,263.472,8.82473,-15.6511,289.577,16.4581,-12.7815,277.272
-15.4928,-57.9814,270.691,37.8062,-64.8383,286.655,-9.61259,-51.931,250.373,42.9029,-63.9183,263.472,-6.31693,-46.4825,233.547,47.6922,-60.481,236.888,18.032,-12.0107,273.009,23.9304,-8.20104,257.91
-9.61259,-51.931,250.373,42.9029,-63.9183,263.472,-6.31693,-46.4825,233.547,47.6922,-60.481,236.888,-3.32839,-41.7893,217.413,49.3706,-51.6303,211.36,26.081,-6.78277,253.965,28.0939,-3.05955,239.774
-6.31693,-46.4825,233.547,47.6922,-60.481,236.888,-3.32839,-41.7893,217.413,49.3706,-51.6303,211.36,-3.75943,-39.1355,199.533,45.2596,-44.9959,185.663,29.2447,-1.18526,233.691,28.3164,4.21576,217.872
-3.32839,-41.7893,217.413,49.3706,-51.6303,211.36,-3.75943,-39.1355,199.533,45.2596,-44.9959,185.663,-5.94312,-31.5596,175.355,39.7724,-33.5727,164.112,27.9036,6.07544,212.258,23.3516,10.8953,193.804
-3.75943,-39.1355,199.533,45.2596,-44.9959,185.663,-5.94312,-31.5596,175.355,39.7724,-33.5727,164.112,-7.91055,-25.9818,145.008,33.0588,-24.8092,137.039,23.2632,12.7788,190.178,17.8618,18.652,170.424
-5.94312,-31.5596,175.355,39.7724,-33.5727,164.112,-7.91055,-25.9818,145.008,33.0588,-24.8092,137.039,-18.3278,-15.7851,120.333,37.8431,-12.101,111.919,16.2954,20.3886,166.029,8.94581,27.4275,144.024
-7.91055,-25.9818,145.008,33.0588,-24.8092,137.039,-18.3278,-15.7851,120.333,37.8431,-12.101,111.919,-28.4042,-14.4064,89.8226,40.3096,-6.77247,85.9188,8.61161,29.4213,138.653,3.82475,36.2605,113.635
-18.3278,-15.7851,120.333,37.8431,-12.101,111.919,-28.4042,-14.4064,89.8226,40.3096,-6.77247,85.9188,-32.2091,-11.0528,61.5673,36.5047,-3.41885,57.6635,4.67145,38.6042,107.111,0.8819,45.3282,80.7234
-55.976,-72.3368,382.96,-0.163238,-61.4921,383.845,-55.6633,-74.1096,359.482,0.149448,-63.2649,360.367,-52.6982,-75.4194,329.406,-2.19028,-65.5006,343.488,-35.7704,-22.434,361.714,-36.2083,-20.7985,344.917
